id,title,release_date,genres,original_language,vote_average,vote_count,popularity,production_companies,vote_category,new_budget
430155,Coma,11/19/2019,"['Science Fiction', 'Adventure', 'Action']",Russian,6.4,446,23.602,"['Fresh Film', 'Cinema Fund', 'Mars Media Entertainment', 'Big Cinema House', 'Fond kino', 'Argunov Studio', 'Central Partnership']",good,15.20180492
6068,Six Days Seven Nights,6/12/1998,"['Adventure', 'Action', 'Comedy', 'Romance']",English,6,1271,18.737,"['Roger Birnbaum Productions', 'Caravan Pictures', 'Touchstone Pictures', 'Northern Lights Entertainment']",bad,18.0640058
475430,Artemis Fowl,6/12/2020,"['Adventure', 'Fantasy', 'Science Fiction', 'Family', 'Action']",English,5.6,1492,19.103,"['Tribeca Productions', 'Walt Disney Pictures', 'TKBC']",bad,18.6438243
12309,Bachelor Party,6/29/1984,['Comedy'],English,6.3,565,20.836,"['Twin Continental', 'Bachelor Party Productions', 'Aspect Ratio Film', '20th Century Fox']",good,15.60727003
11635,Old School,2/21/2003,['Comedy'],English,6.6,1563,25.586,"['The Montecito Picture Company', 'DreamWorks Pictures']",good,16.99356439
507076,Climax,9/19/2018,"['Horror', 'Music']",French,7.1,1781,17.594,"['Wild Bunch', 'Rectangle Productions', 'ARTE France Cinéma', 'VOO', 'Vice Studios', 'Eskwad', 'KNM']",good,14.89407557
429212,Female Teacher,10/29/1977,['Drama'],Japanese,1,1,12.337,['Nikkatsu Corporation'],bad,12.82125828
1008102,Rally Road Racers,5/12/2023,"['Animation', 'Family', 'Comedy']",English,0,0,23.903,"['Vanguard Animation', 'Kintop Pictures', 'Riverstone Pictures', 'ReDefine', 'Virtuso Productions', 'Lipsync Productions', 'REP Productions 6 Ltd.']",bad,12.82125828
39691,Cats & Dogs: The Revenge of Kitty Galore,7/28/2010,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'Action', 'Animation']",English,5.2,562,14.587,"['Village Roadshow Pictures', 'Polymorphic Pictures', 'Mad Chance', 'CD2 Films', 'Warner Bros. Pictures', 'Warner Bros. Entertainment']",bad,18.25816181
4561,The Story of O,8/27/1975,['Drama'],French,5.7,123,22.583,"['Terra-Filmkunst', 'S.N. Prodis']",bad,12.82125828
350725,The Virgin Psychics,9/4/2015,"['Comedy', 'Science Fiction']",Japanese,5.7,46,27.967,['TV Tokyo'],bad,12.82125828
739993,Metal Lords,4/8/2022,"['Comedy', 'Drama', 'Music']",English,6.9,500,19.429,['Bighead Littlehead'],good,12.82125828
298,Ocean's Thirteen,6/6/2007,"['Crime', 'Thriller']",English,6.7,5685,23.682,"['Village Roadshow Pictures', 'Warner Bros. Pictures', 'Section Eight', 'Jerry Weintraub Productions']",good,18.25816181
1654,The Dirty Dozen,6/15/1967,"['Action', 'Adventure', 'War']",English,7.6,1028,14.481,"['Seven Arts Pictures', 'MKH', 'Metro-Goldwyn-Mayer']",good,15.50190951
927855,Love Tactics,2/11/2022,"['Romance', 'Comedy']",Turkish,7.2,238,18.622,['Lanistar Media'],good,12.82125828
12448,The Hunchback of Notre Dame II,2/5/2002,"['Animation', 'Family', 'Comedy']",English,5.4,698,19.081,"['Disney Television Animation', 'Walt Disney Animation Japan', 'Walt Disney Pictures']",bad,12.82125828
581734,Nomadland,1/29/2021,['Drama'],English,7.2,2544,16.301,"['Cor Cordium Productions', 'Hear/Say Productions', 'Highwayman Films']",good,15.42494847
1966,Alexander,11/21/2004,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",English,5.9,2951,24.33,"['Warner Bros. Pictures', 'WR Universal Group', 'France 3 Cinéma', 'Intermedia Films', 'Pathé Renn Productions', 'Egmond Film & Television', 'Pacifica Film', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'Summit Entertainment', 'Santa International Film Productions', 'Dune Films', 'India Take One Productions']",bad,18.85893567
581600,Spenser Confidential,3/6/2020,"['Comedy', 'Action', 'Thriller']",English,6.5,2027,17.294,"['Film 44', 'Original Film', 'Closest to the Hole Productions', 'Leverage Entertainment']",good,12.82125828
77866,Contraband,1/12/2012,"['Thriller', 'Action', 'Drama', 'Crime']",English,6.3,1892,15.082,"['Universal Pictures', 'Relativity Media', 'Working Title Films', 'BlueEyes Productions', 'Leverage', 'Closest to the Hole Productions', 'Farraday Films', 'StudioCanal']",good,17.03438638
1087066,Roll with It,5/9/2023,Company X,English,0,0,28.732,Company X,bad,12.82125828
80184,The Hidden Face,9/16/2011,"['Thriller', 'Mystery']",Spanish,7.3,898,16.331,"['Avalon Studios', 'Dynamo', 'Fox International Productions']",good,12.82125828
